tenure_label,tenure_id,house,state_id,state_name,constituency_id,constituency_name,mp_id,mp_name,allocated_cr,recommended_cr,sanctioned_cr,completed_cr,expenditure_cr,calamity_cr,n_recommended,n_sanctioned,n_completed
17th Lok Sabha,5,Lok Sabha,35,Andaman And Nicobar Islands,1,ANDAMAN AND NICOBAR ISLANDS,3018937,Kuldeep Rai Sharma,12.85,9.0108,9.0108,0.9689,5.07,0.0,42,42,9
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,2,ANAKAPALLE,3018936,Beesetti Venkata Satyavathi,9.2,8.9891,8.9891,6.7043,8.19,0.0,69,69,61
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,3,HINDUPUR,3018343,Kuruva Gorantla Madhav,7.23,6.1314,6.1314,5.7364,5.78,0.0,64,64,61
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,4,VIJAYAWADA,3018341,Srinivas Kesineni,7.67,5.6592,5.6592,5.6592,5.66,0.0,91,91,91
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,5,NANDYAL,3018345,Pocha Brahmananda Reddy,9.44,8.8612,8.8112,7.2407,7.24,0.0,157,156,136
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,7,AMALAPURAM(SC),3018949,Smt Chinta Anuradha,11.77,11.6087,11.6087,3.7607,10.07,0.0,192,192,62
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,8,BAPATLA,3018947,Nandigam Suresh,9.14,8.6856,8.6856,8.1176,8.44,0.0,122,122,111
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,9,ARAKU(ST),3018338,Goddeti Madhavi,9.8,9.7927,9.7927,0.1689,7.53,0.0,189,189,7
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,10,NELLORE(SC),3018339,Adala Reddy,11.77,9.2437,9.2437,9.2437,9.24,0.0,90,90,90
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,11,TIRUPATI(SC),3018946,Maddila Gurumoorthy,9.39,8.111,8.111,5.3,6.78,0.0,100,100,63
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,12,ANANTAPUR,3018948,Talari Rangaiah,18.97,13.2332,13.2332,10.1939,10.64,0.0,199,199,171
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,13,SRIKAKULAM,3018939,Kinjarapu Ram Mohan Naidu,7.23,7.21,7.21,4.404,5.61,0.0,132,132,92
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,14,ONGOLE,3018340,Magunta Sreenivasulu Reddy,19.12,18.3479,18.3479,6.0646,12.34,0.0,346,346,110
17th Lok Sabha,5,Lok Sabha,2,Andhra Pradesh,15,ELURU,3018940,Kotagiri Sridhar,9.81,7.4246,7.4246,2.8996,3.81,0.0,75,75,31
