tenure_label,house,state_id,state_name,mp_id,mp_name,mp_tenure,tile_label,ACTIVITY_NAME,ACTUAL_AMOUNT,ACTUAL_END_DATE,ATTACH_ID,AVERAGE_RATING,CONSTITUENCY,CONSTITUENCY_ID,FILE_STATUS,FLAG,IDA_NAME,LETTER_NO,MP_NAME,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,STATE_NAME,Sno,Total_Amt,WORK_CATEGORY,WORK_DESCRIPTION,WORK_ID,WORK_RECOMMENDATION_DTL_ID
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47365-Construction of community centers and community halls,,,584951,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/5,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,2496695.0,Andhra Pradesh,1,,Normal/Others,Construction of BC Community Hall at Alamuru Village and Mandal,,47365
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47368-Construction of buildings for community cultural activities,,,486104,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/6,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,1500000.0,Andhra Pradesh,2,,Normal/Others,Construction of Multipurpose Hall of SC (Madiga) Community at Hasanbada Village of Ramachandrapuram,,47368
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47380-Construction of buildings for community cultural activities,,,1854879,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/7,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,2500000.0,Andhra Pradesh,3,,Normal/Others,"Construction of Multipurpose Activities Centre in General Locality, Vegayampeta Village of Ramachandrapuram",,47380
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47381-Construction of buildings for community cultural activities,,,1241483,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/7,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,2500000.0,Andhra Pradesh,4,,Normal/Others,Construction of Multipurpose activities Centre at Vella Village of Ramachandrapuram,,47381
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47383-Construction of buildings for community cultural activities,,,,,Sitting Rajya Sabha,545,,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/7,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,2500000.0,Andhra Pradesh,5,,Normal/Others,Construction of Multipurpose Activities Centre at Pedda Mosque for Muslim Community of Draksharama Village of Ramachandrapuram,,47383
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47364-Construction of buildings for community cultural activities,,,,,Sitting Rajya Sabha,545,,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/4,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,2500000.0,Andhra Pradesh,6,,Normal/Others,Construction of Multipurpose Hall at Vakkalanka Village of Ambajipeta Mandal in BC Locality,,47364
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47362-Construction of community centers and community halls,,,506163,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/3,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,1000000.0,Andhra Pradesh,7,,Normal/Others,Construction of Community Hall for Madiga Community at Gopalapuram Village of Ravulapalem,,47362
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47363-Construction of buildings for community cultural activities,,,495423,,Sitting Rajya Sabha,545,True,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/3,Shri Subhas Chandra Bose Pilli (2020-26),08-Nov-2023,1500000.0,Andhra Pradesh,8,,Normal/Others,Construction of Multipurpose Activities Center at Ethakota Village of Ravulapalem Mandal for BC Community,,47363
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47283-Construction of buildings for community cultural activities,,,,,Sitting Rajya Sabha,545,,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/2,Shri Subhas Chandra Bose Pilli (2020-26),07-Nov-2023,2500000.0,Andhra Pradesh,9,,Normal/Others,Construction of Multipurpose activity Center at I.Polavaram Village and Mandal,,47283
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,Works Recommended,WS/MP026/2023-2024/47284-Construction of buildings for community cultural activities,,,,,Sitting Rajya Sabha,545,,1,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),LN/MP026/2023-2024/2,Shri Subhas Chandra Bose Pilli (2020-26),07-Nov-2023,2500000.0,Andhra Pradesh,10,,Normal/Others,Construction of Multipurpose activity Centre at Rayavaram Village and Mandal for SC (Mala) Community,,47284
